№,CD компании,Краткое название,Полное название,Web сайт,Какие услуги предоставляет,Описание 
1,AMLS,Amlanguage,Am Language Studio,http://www.amlanguage.com/ru/,Обучение английскому языку на Мальте,"Являясь одной из первых школ по обучению Английскому , am Language Studio это школа с богатой историей предлагающая качественные Английские курсы и удовлетворение клиентов.
Основанная в 1987 am Language studio является одним из основателей и членов FELTOM (Federation of English Language Teaching Organizations of Malta), ассоциации качества школ по обучению Английскому языку на Мальте.
am Language Studio лицензированна Министерством обучения Мальты и все департаменты школы аккредитированы ISO-9001"
2,ATC,ATC,ATC Ireland English Langage Programmes,http://www.atcireland.ie/,Обучение Английскому Языку в Ирландии,"ATC Ireland was founded in 1964. Since that time we have had the pleasure of welcoming students from many different locations all over the world. We offer a wide range of courses for students of different ages and levels of English all of which are approved by the Department of Education and Skills in Ireland. We aim to help our students improve their English learning skills in a friendly and stimulating atmosphere by providing an extensive educational and cultural programme, and by ensuring that their needs are clearly understood and met at all times. Studying English the Irish way is an experience you will always remember!"
3,Ayia_Napa,Ayia-Napa ,Ayia-Napa School,http://napa-school.com/,Обучение английскому языку на Мальте,"Учи английский на Кипре

Вы хотите учить английский язык, хорошо проводить время и знакомиться с новыми людьми? Наша школа дает такую возможность Вам и Вашим детям!"
4,Berlitz,Berlitz,Berlitz Language Centre,http://www.berlitz.ae/,"Learn to speak Arabic, French, English, Spanish, German, Dutch, Portuguese, Italian, Turkish, Persian, Russian, Chinese or Japanese like a native speaker!","Learn the language of your choice for business, pleasure and travel - quickly, enjoyably, effectively, and with unmatched expertise!

With more than 130 years of experience, 500 centers in over 70 countries and millions of satisfied graduates, Berlitz is the only source you need for effective language instruction and cross-cultural training, whether for business or personal enrichment."
5,CapitalMandarin,CapitalMandarin,CapitalMandarin school,http://www.chinesestudy.ru/,Обучение Китайскому языку,"CapitalMandarin school открыла свои двери в 2006 году в Пекине. Сегодня она является крупным центром  изучения китайского языка международного уровня. Мы специализируемся именно на обучении граждан иностранных государств. Школа обладает современной инфраструктурой, высочайшим качеством образования и прочной репутацией. Директор школы Capital Mandarin Сэнди - профессиональный преподаватель китайского языка как иностранного, с профильным образованием и большим опытом работы."
6,CLUBCLASS,Clubclass,Clubclass English Language School,http://www.clubclass.com/,Обучение Английскому языку в Лондоне и на Мальте,"Clubclass Residential Language School lies in the quite city district Swieqi, only a stone's throw away from the lively centre of Pacevilles. 
In the immediaty vicinity of the school are many leisure possibilities, such as cinemas, bowling, night clubs and a beautiful beach. 

The school offer classes and accommodation in one building which allows an ideal intensiv learning atmosphere. Clubclass is proud to offer its students high quality courses with a very personal support. There is a vast array of different language courses, including standard courses, business english and preparation courses for different language exam"
7,EC,EC school,English Language Centres,http://www.ecenglish.com/ru,Обучение английскому языку за рубежом,"Изучайте Английский в одной из наших 18 школ по всему миру. Все школы EC находятся только в англоговорящих странах, поэтому вы можете практиковать английский язык каждый день! Для подтверждения высокого качества обучения все наши школы аккредитованы высшими организациями по аккредитации. Занятия по изучению английского в наших школах проходят в небольших классах и проводятся дружелюбными и опытными учителями. Какой бы ни была ваша причина посещения курсов, вы однозначно улучшите свой английский в школе EC!"
8,EEC,EEC,English Language School Malta – EEC Language Centre,http://www.educationmalta.com/?lang=ru,Обучение английскому языку на Мальте,"EEC Language Centre is situated in a residential and affluent area called “Kappara” San Gwann in the limits of Sliema, Paceville, St. Julian’s area. The building itself is spacious, having bright rooms, highly finished in marble and mahogany fittings and fixtures. The school can accommodate 250 students per week in the main building. The Language Centre is just 20 minutes walking distance from the Strand – Sliema, with accommodation, shopping, banking, recreational and other facilities close at hand."
9,EF,English first,English First,http://www.ef-russia.ru/pg/,Обучение английскому языку за рубежом,"Изучение языка за границей
11 программ(ы) соответствует
Для каждого из нас изучение языка за границей идет быстрее, чем если учить его на родине. Если вы действительно хотите освоить иностранный язык, изучение языка за границей - единственный подходящий вариант. Мы предлагаем самые разные программы изучения языка за границей, которые подбираются в зависимости от ваших задач и вашего графика."
10,EMBASSY,Embassy English,Embassy English,http://www.embassyenglish.com/ru-ru,Обучение английскому языку за рубежом,"Есть много разных способов учить английский язык, но мы твердо верим, что нет лучшего способа, чем учение лицом к лицу. Поэтому за последние 40 лет мы усовершенствовали мастерство аудиторных курсов английского языка с профессиональными учителями в некоторых самых волнующих англоговорящих местоположениях."
